===============================
Text File: 0
===============================
!
!
!
[VAR(257, 0, 0)] used Pound!
The wild [VAR(257, 0, 0)] used Pound!
The foe’s [VAR(257, 0, 0)] used Pound!
[VAR(257, 0, 0)] used Karate Chop!
The wild [VAR(257, 0, 0)] used Karate Chop!
The foe’s [VAR(257, 0, 0)] used Karate Chop!
[VAR(257, 0, 0)] used DoubleSlap!
The wild [VAR(257, 0, 0)] used DoubleSlap!
The foe’s [VAR(257, 0, 0)] used DoubleSlap!
[VAR(257, 0, 0)] used Comet Punch!
The wild [VAR(257, 0, 0)] used Comet Punch!
The foe’s [VAR(257, 0, 0)] used Comet Punch!
[VAR(257, 0, 0)] used Mega Punch!
The wild [VAR(257, 0, 0)] used Mega Punch!
The foe’s [VAR(257, 0, 0)] used Mega Punch!
[VAR(257, 0, 0)] used Pay Day!
The wild [VAR(257, 0, 0)] used Pay Day!
The foe’s [VAR(257, 0, 0)] used Pay Day!
[VAR(257, 0, 0)] used Fire Punch!
The wild [VAR(257, 0, 0)] used Fire Punch!
The foe’s [VAR(257, 0, 0)] used Fire Punch!
[VAR(257, 0, 0)] used Ice Punch!
The wild [VAR(257, 0, 0)] used Ice Punch!
The foe’s [VAR(257, 0, 0)] used Ice Punch!
[VAR(257, 0, 0)] used ThunderPunch!
The wild [VAR(257, 0, 0)] used ThunderPunch!
The foe’s [VAR(257, 0, 0)] used ThunderPunch!
[VAR(257, 0, 0)] used Scratch!
The wild [VAR(257, 0, 0)] used Scratch!
The foe’s [VAR(257, 0, 0)] used Scratch!
[VAR(257, 0, 0)] used ViceGrip!
The wild [VAR(257, 0, 0)] used ViceGrip!
The foe’s [VAR(257, 0, 0)] used ViceGrip!
[VAR(257, 0, 0)] used Guillotine!
The wild [VAR(257, 0, 0)] used Guillotine!
The foe’s [VAR(257, 0, 0)] used Guillotine!
[VAR(257, 0, 0)] used Razor Wind!
The wild [VAR(257, 0, 0)] used Razor Wind!
The foe’s [VAR(257, 0, 0)] used Razor Wind!
